Sample Name,CT
3wk_1102,Undetermined
3wk_1102,Undetermined
3wk_1102,43.17813492
3wk_1116,Undetermined
3wk_1116,Undetermined
3wk_1116,41.22228622
3wk_1203,Undetermined
3wk_1203,Undetermined
3wk_1203,Undetermined
3wk_1222,25.78079605
3wk_1222,25.26951218
3wk_1222,26.33944893
3wk_1104,35.3092804
3wk_1104,Undetermined
3wk_1104,Undetermined
3wk_1121,Undetermined
3wk_1121,36.35740662
3wk_1121,Undetermined
3wk_1204,36.25124359
3wk_1204,Undetermined
3wk_1204,Undetermined
3wk_1224,23.19789124
3wk_1224,22.80201149
3wk_1224,23.75285721
3wk_1105,Undetermined
3wk_1105,36.53865433
3wk_1105,Undetermined
3wk_1122,Undetermined
3wk_1122,Undetermined
3wk_1122,39.43559647
3wk_1206,Undetermined
3wk_1206,Undetermined
3wk_1206,Undetermined
3wk_1225,Undetermined
3wk_1225,Undetermined
3wk_1225,Undetermined
3wk_1106,29.00667572
3wk_1106,28.56987953
3wk_1106,29.16087151
3wk_1123,39.10165787
3wk_1123,Undetermined
3wk_1123,37.87800598
3wk_1207,Undetermined
3wk_1207,Undetermined
3wk_1207,37.65828323
3wk_1107,42.79052734
3wk_1107,36.79047012
3wk_1107,37.17107391
3wk_1124,Undetermined
3wk_1124,Undetermined
3wk_1124,35.00714874
3wk_1209,36.31554794
3wk_1209,35.61803055
3wk_1209,39.31349564
3wk_1226,Undetermined
3wk_1226,Undetermined
3wk_1226,Undetermined
3wk_1310,Undetermined
3wk_1310,Undetermined
3wk_1310,Undetermined
3wk_1323,Undetermined
3wk_1323,Undetermined
3wk_1323,Undetermined
3wk_1340,39.22172928
3wk_1340,Undetermined
3wk_1340,Undetermined
3wk_1227,Undetermined
3wk_1227,Undetermined
3wk_1227,Undetermined
3wk_1312,42.20439529
3wk_1312,40.79857254
3wk_1312,35.27467728
3wk_1324,Undetermined
3wk_1324,Undetermined
3wk_1324,Undetermined
3wk_1401,Undetermined
3wk_1401,Undetermined
3wk_1401,Undetermined
3wk_1228,Undetermined
3wk_1228,Undetermined
3wk_1228,Undetermined
3wk_1313,Undetermined
3wk_1313,Undetermined
3wk_1313,Undetermined
3wk_1325,Undetermined
3wk_1325,Undetermined
3wk_1325,37.82316971
3wk_1406,Undetermined
3wk_1406,Undetermined
3wk_1406,Undetermined
3wk_1230,37.56763458
3wk_1230,32.59421158
3wk_1230,35.89758682
3wk_1314,Undetermined
3wk_1314,Undetermined
3wk_1314,Undetermined
3wk_1327,33.54364395
3wk_1327,Undetermined
3wk_1327,Undetermined
3wk_1407,Undetermined
3wk_1407,37.23209381
3wk_1407,Undetermined
3wk_1233,Undetermined
3wk_1233,Undetermined
3wk_1233,Undetermined
3wk_1316,Undetermined
3wk_1316,Undetermined
3wk_1316,Undetermined
3wk_1328,36.64927292
3wk_1328,Undetermined
3wk_1328,39.2191124
3wk_1408,Undetermined
3wk_1408,Undetermined
3wk_1408,Undetermined
3wk_1235,Undetermined
3wk_1235,36.80526352
3wk_1235,Undetermined
3wk_1317,Undetermined
3wk_1317,Undetermined
3wk_1317,Undetermined
3wk_1329,Undetermined
3wk_1329,Undetermined
3wk_1329,35.25063705
3wk_1410,Undetermined
3wk_1410,Undetermined
3wk_1410,Undetermined
3wk_1303,Undetermined
3wk_1303,36.76593781
3wk_1303,Undetermined
3wk_1318,Undetermined
3wk_1318,Undetermined
3wk_1318,Undetermined
3wk_1331,Undetermined
3wk_1331,37.33405685
3wk_1331,Undetermined
3wk_1309,Undetermined
3wk_1309,35.86070633
3wk_1309,35.64016724
3wk_1321,Undetermined
3wk_1321,35.12597656
3wk_1321,Undetermined
3wk_1332,Undetermined
3wk_1332,Undetermined
3wk_1332,Undetermined
3wk_1418,41.33123016
3wk_1418,Undetermined
3wk_1418,38.81385422
3wk_1430,36.95113373
3wk_1430,35.68741226
3wk_1430,37.60567856
9wk_715,23.64478111
9wk_715,23.55263901
9wk_715,23.79145622
9wk_819,32.95474243
9wk_819,32.30889511
9wk_819,32.88381958
3wk_1419,Undetermined
3wk_1419,Undetermined
3wk_1419,Undetermined
9wk_601,Undetermined
9wk_601,36.14445877
9wk_601,Undetermined
9wk_719,25.33389664
9wk_719,25.25668716
9wk_719,25.47389984
9wk_820,24.31227875
9wk_820,23.66988945
9wk_820,24.89228249
3wk_1421,Undetermined
3wk_1421,Undetermined
3wk_1421,42.13032532
9wk_607,24.61861038
9wk_607,24.48374748
9wk_607,24.43842888
9wk_726,16.26693726
9wk_726,16.4186058
9wk_726,16.33217239
9wk_821,Undetermined
9wk_821,Undetermined
9wk_821,35.26668167
3wk_1422,Undetermined
3wk_1422,Undetermined
3wk_1422,Undetermined
9wk_616,28.96650314
9wk_616,29.66699791
9wk_616,29.95509911
9wk_729,25.33959389
9wk_729,25.51421738
9wk_729,24.96953392
9wk_822,Undetermined
9wk_822,Undetermined
9wk_822,Undetermined
3wk_1423,Undetermined
3wk_1423,Undetermined
3wk_1423,Undetermined
9wk_618,Undetermined
9wk_618,35.88739014
9wk_618,Undetermined
9wk_807,24.43218994
9wk_807,23.98553467
9wk_807,23.9370842
9wk_824,26.9548893
9wk_824,26.93227196
9wk_824,27.44843674
3wk_1425,Undetermined
3wk_1425,Undetermined
3wk_1425,Undetermined
9wk_620,23.55561829
9wk_620,23.95955086
9wk_620,23.40743256
9wk_808,25.80531693
9wk_808,25.95316505
9wk_808,25.81165123
9wk_825,Undetermined
9wk_825,Undetermined
9wk_825,Undetermined
3wk_1428,Undetermined
3wk_1428,Undetermined
3wk_1428,Undetermined
9wk_625,25.57568932
9wk_625,25.76237679
9wk_625,25.70525742
9wk_810,Undetermined
9wk_810,Undetermined
9wk_810,Undetermined
3wk_1429,23.42405319
3wk_1429,41.99116898
3wk_1429,37.46172714
9wk_701,26.85867882
9wk_701,26.96575737
9wk_701,26.86970901
9wk_814,26.93922997
9wk_814,27.62616539
9wk_814,27.24060631
9wk_826,Undetermined
9wk_826,42.01846695
9wk_826,Undetermined
9wk_1026,Undetermined
9wk_1026,36.66788483
9wk_1026,Undetermined
9wk_1224,28.34199905
9wk_1224,28.37145996
9wk_1224,28.08909035
9wk_1410,29.572155
9wk_1410,30.46023369
9wk_1410,31.19682693
9wk_827,28.35673904
9wk_827,27.70062637
9wk_827,27.3924675
9wk_1030,34.72519302
9wk_1030,33.19968033
9wk_1030,34.46362305
9wk_1228,31.84178925
9wk_1228,31.39847755
9wk_1228,30.7314167
9wk_1416,30.80435181
9wk_1416,32.24682999
9wk_1416,32.76130295
9wk_902,28.44255638
9wk_902,27.27282333
9wk_902,27.10544586
9wk_1101,27.85582924
9wk_1101,28.39029121
9wk_1101,28.07728767
9wk_1233,Undetermined
9wk_1233,Undetermined
9wk_1233,Undetermined
9wk_1430,29.73458481
9wk_1430,29.44087791
9wk_1430,29.88972282
9wk_914,26.70566177
9wk_914,25.89990616
9wk_914,26.06402206
9wk_1105,33.72347641
9wk_1105,33.2721405
9wk_1105,33.64982224
9wk_1303,Undetermined
9wk_1303,Undetermined
9wk_1303,Undetermined
9wk_921,24.10718727
9wk_921,23.63232231
9wk_921,23.64547348
9wk_1106,38.15497208
9wk_1106,Undetermined
9wk_1106,Undetermined
9wk_1317,29.57748604
9wk_1317,29.5636425
9wk_1317,29.79879951
9wk_1001,33.37846375
9wk_1001,31.56070328
9wk_1001,31.68614388
9wk_1115,37.62633896
9wk_1115,Undetermined
9wk_1115,Undetermined
9wk_1318,Undetermined
9wk_1318,Undetermined
9wk_1318,Undetermined
9wk_1003,39.14142227
9wk_1003,36.44569397
9wk_1003,Undetermined
9wk_1202,29.33011436
9wk_1202,29.52936935
9wk_1202,29.38556099
9wk_1328,27.9240818
9wk_1328,27.85536766
9wk_1328,27.92734718
9wk_1025,27.02730942
9wk_1025,25.71681404
9wk_1025,25.81677055
9wk_1214,25.81347275
9wk_1214,25.90936279
9wk_1214,25.9268589
9wk_1331,26.48125458
9wk_1331,26.58209229
9wk_1331,26.62117195
6mo_601,20.3047123
6mo_601,19.59061623
6mo_601,19.35335159
6mo_624,33.59213257
6mo_624,33.70685959
6mo_624,33.79413986
6mo_709,22.43715668
6mo_709,22.61898422
6mo_709,22.72790527
6mo_723,Undetermined
6mo_723,38.06281662
6mo_723,Undetermined
6mo_604,25.56104469
6mo_604,25.21968079
6mo_604,25.10397911
6mo_625,22.94239998
6mo_625,22.92617035
6mo_625,22.93816948
6mo_710,42.04796982
6mo_710,37.86724854
6mo_710,Undetermined
6mo_725,17.91653633
6mo_725,18.1493988
6mo_725,19.05010605
6mo_614,22.99292755
6mo_614,22.72427368
6mo_614,22.53382111
6mo_626,23.27888489
6mo_626,23.18127632
6mo_626,23.2726593
6mo_714,19.9272213
6mo_714,19.71800613
6mo_714,19.76925087
6mo_726,23.82719231
6mo_726,23.71141243
